,Name,N,u,g,r,i,z,u',g',r',i',z',U,B,V,R,I
0,SN2015bn,710,0,0,2,0,0,21,62,72,64,30,68,93,124,89,85
2,PTF12dam,430,8,98,151,93,14,0,0,0,0,0,10,46,10,0,0
3,SN2015L,201,0,0,0,0,0,0,0,0,0,0,94,56,51,0,0
4,SN2017egm,169,0,1,15,24,0,0,0,0,0,0,31,47,51,0,0
5,SN2008am,232,0,0,0,0,0,0,59,63,58,32,8,5,7,0,0
6,SN2016eay,290,0,4,46,38,0,0,0,0,0,0,28,46,70,47,11
7,SN2017faf,274,0,0,0,12,2,0,0,0,0,0,0,53,68,69,70
8,SN2010gx,252,0,8,28,11,6,22,38,41,40,33,3,18,0,4,0
9,PTF09cnd,172,8,19,71,32,0,0,0,0,0,0,8,23,0,11,0
10,SN2011kg,175,5,27,80,34,13,0,0,0,0,0,5,11,0,0,0
11,SN2008es,162,0,2,0,1,0,0,0,0,0,0,21,43,44,25,26
15,SN2011ke,32,0,0,0,0,0,0,0,0,0,0,3,11,18,0,0
17,LSQ15abl,71,0,0,0,0,0,0,0,0,0,0,23,24,24,0,0
19,PTF12mxx,100,2,30,42,25,0,0,0,0,0,0,1,0,0,0,0
20,PS1-10ky,110,0,16,28,32,34,0,0,0,0,0,0,0,0,0,0
22,iPTF13ajg,56,0,13,19,24,0,0,0,0,0,0,0,0,0,0,0
25,SN2018bsz,23,0,8,8,6,1,0,0,0,0,0,0,0,0,0,0
27,PS1-14bj,90,0,15,28,28,19,0,0,0,0,0,0,0,0,0,0
28,PTF12gty,89,0,9,61,19,0,0,0,0,0,0,0,0,0,0,0
29,SN2013hy,54,0,9,21,24,0,0,0,0,0,0,0,0,0,0,0
37,LSQ14mo,52,0,10,32,10,0,0,0,0,0,0,0,0,0,0,0
38,PS1-10bzj,51,0,13,16,22,0,0,0,0,0,0,0,0,0,0,0
39,PS1-10awh,66,0,15,14,19,18,0,0,0,0,0,0,0,0,0,0
40,PTF10aagc,55,0,7,38,10,0,0,0,0,0,0,0,0,0,0,0
42,PTF10bfz,58,0,9,40,9,0,0,0,0,0,0,0,0,0,0,0
50,SNLS-06D4eu,47,0,12,12,15,8,0,0,0,0,0,0,0,0,0,0
51,SN2011kf,46,0,13,11,11,11,0,0,0,0,0,0,0,0,0,0
53,SN2012il,31,0,9,15,7,0,0,0,0,0,0,0,0,0,0,0
54,DES15E2mlf,44,0,12,12,10,10,0,0,0,0,0,0,0,0,0,0
