,Name,N,u,g,r,i,z,u',g',r',i',z',U,B,V,R,I
0,SN2015bn,710,0,0,2,0,0,21,62,72,64,30,68,93,124,89,85
2,PTF12dam,430,8,98,151,93,14,0,0,0,0,0,10,46,10,0,0
3,SN2015L,201,0,0,0,0,0,0,0,0,0,0,94,56,51,0,0
4,SN2017egm,169,0,1,15,24,0,0,0,0,0,0,31,47,51,0,0
5,SN2008am,232,0,0,0,0,0,0,59,63,58,32,8,5,7,0,0
6,SN2016eay,290,0,4,46,38,0,0,0,0,0,0,28,46,70,47,11
7,SN2017faf,274,0,0,0,12,2,0,0,0,0,0,0,53,68,69,70
8,SN2010gx,252,0,8,28,11,6,22,38,41,40,33,3,18,0,4,0
9,PTF09cnd,172,8,19,71,32,0,0,0,0,0,0,8,23,0,11,0
10,SN2011kg,175,5,27,80,34,13,0,0,0,0,0,5,11,0,0,0
11,SN2008es,162,0,2,0,1,0,0,0,0,0,0,21,43,44,25,26
14,SN2016ezh,70,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0
15,SN2011ke,32,0,0,0,0,0,0,0,0,0,0,3,11,18,0,0
16,SN2010md,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
17,LSQ15abl,71,0,0,0,0,0,0,0,0,0,0,23,24,24,0,0
19,PTF12mxx,100,2,30,42,25,0,0,0,0,0,0,1,0,0,0,0
20,PS1-10ky,110,0,16,28,32,34,0,0,0,0,0,0,0,0,0,0
21,PTF09atu,58,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
22,iPTF13ajg,56,0,13,19,24,0,0,0,0,0,0,0,0,0,0,0
23,PTF11hrq,102,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0
25,SN2018bsz,23,0,8,8,6,1,0,0,0,0,0,0,0,0,0,0
27,PS1-14bj,90,0,15,28,28,19,0,0,0,0,0,0,0,0,0,0
28,PTF12gty,89,0,9,61,19,0,0,0,0,0,0,0,0,0,0,0
29,SN2013hy,54,0,9,21,24,0,0,0,0,0,0,0,0,0,0,0
31,LSQ14an,19,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
37,LSQ14mo,52,0,10,32,10,0,0,0,0,0,0,0,0,0,0,0
38,PS1-10bzj,51,0,13,16,22,0,0,0,0,0,0,0,0,0,0,0
39,PS1-10awh,66,0,15,14,19,18,0,0,0,0,0,0,0,0,0,0
40,PTF10aagc,55,0,7,38,10,0,0,0,0,0,0,0,0,0,0,0
42,PTF10bfz,58,0,9,40,9,0,0,0,0,0,0,0,0,0,0,0
44,LSQ14bdq,14,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0
49,PTF12mkp,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
50,SNLS-06D4eu,47,0,12,12,15,8,0,0,0,0,0,0,0,0,0,0
51,SN2011kf,46,0,13,11,11,11,0,0,0,0,0,0,0,0,0,0
52,SN2010hy,38,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0
53,SN2012il,31,0,9,15,7,0,0,0,0,0,0,0,0,0,0,0
54,DES15E2mlf,44,0,12,12,10,10,0,0,0,0,0,0,0,0,0,0
56,PTF10nmn,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
57,DES16C2nm,23,0,0,12,11,0,0,0,0,0,0,0,0,0,0,0
60,SN2009cb,23,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0
61,PTF10vqv,28,0,4,24,0,0,0,0,0,0,0,0,0,0,0,0
62,SN2018gkz,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
64,SN2009jh,12,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0
65,PTF10uhf,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
66,SN2019cmv,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,PTF10bjp,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
71,SN2016aj,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
75,SN2020znr,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
77,SN2020onb,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
78,SN2020qlb,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,SN2018kyt,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
83,SN2019qfb,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
84,SN2020mad,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
86,SN2021ek,5,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
87,AT2019cdt,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
89,SN2019neq,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
94,SN2019zeu,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
97,SN2020xga,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
100,SN2019afz,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
101,SN2019ugi,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
102,SN2019zbv,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
104,SN2020adkm,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
