,Name,Type,ra,dec,redshift,number of bands
0,SN2018hti,('SLSN-I'),03:40:53.750,+11:46:37.29,0.0612,15
1,SN2015bn,('SLSN-I'),11:33:41.57,+00:43:32.2,0.1136,21
2,PTF12dam,('SLSN-I-R'),14:24:46.20,+46:13:48.3,0.1073,14
3,SN2015L,('TDE'),22:02:15.45,-61:39:34.6,0.2326,6
4,SN2017egm,('SLSN-I'),10:19:05.620,+46:27:14.08,0.030721,14
5,SN2008am,('SLSN-II'),12:28:36.25,+15:34:49.1,0.2338,14
6,SN2016eay,('SLSN-I'),12:02:51.71,+44:15:27.4,0.1013,12
7,SN2017faf,('SN II'),17:34:39.980,+26:18:22.00,0.029,8
8,SN2010gx,('SLSN-I'),11:25:46.71,-08:49:41.4,0.2297,16
9,PTF09cnd,('SLSN-I'),16:12:08.94,+51:29:16.1,0.2584,13
10,SN2011kg,('SLSN-I'),01:39:45.51,+29:55:27.0,0.1924,13
11,SN2008es,('SLSN-II'),11:56:49.13,+54:27:25.7,0.202,12
12,MLS150612:112519+081418,('SLSN II'),11:25:19.23,+08:14:18.5,0.101,14
13,CSS121015:004244+132827,('SLSN-II'),00:42:44.380,+13:28:26.20,0.2868,7
14,SN2016ezh,('TDE'),01:58:05.0,-00:52:22,0.08,9
15,SN2011ke,('SLSN-I'),13:50:57.77,+26:16:42.8,0.1428,11
16,SN2010md,('SLSN-I'),16:37:47.00,+06:12:32.3,0.0987,10
17,LSQ15abl,('SLSN-II'),09:40:29.50,-04:11:32.3,0.087,6
18,SN2007bi,('SLSN-I'),13:19:20.19,+08:55:44.3,0.1279,4
19,PTF12mxx,('SLSN-I'),22:30:16.728,+27:58:22.01,0.3296,14
20,PTF09atu,('SLSN-I'),16:30:24.55,+23:38:25.0,0.5015,10
21,iPTF13ajg,('SLSN-I'),16:39:03.95,+37:01:38.4,0.74,8
22,SN2017bcc,('SLSN-II'),11:31:52.990,+29:59:45.13,0.133,3
23,LSQ12dlf,('SLSN-I'),01:50:29.80,-21:48:45.4,0.255,5
24,PS1-14bj,('SLSN-I'),10:02:08.433,+03:39:19.02,0.5215,5
25,PTF12gty,('SLSN-I'),16:01:15.23,+21:23:17.4,0.1768,3
26,SN2013hy,('SLSN-I'),02:42:32.82,-01:21:30.1,0.663,4
27,SN2013dg,('SLSN-I'),13:18:41.35,-07:04:43.0,0.265,5
28,LSQ14an,('SLSN-I'),12:53:47.83,-29:31:27.2,0.163,9
29,iPTF13ehe,('SLSN-I-R'),06:53:21.50,+67:07:56.0,0.3434,3
30,SN2006gy,('SLSN-II'),03:17:27.06,+41:24:19.5,0.01919,9
31,LSQ14mo,('SLSN-I'),10:22:41.53,-16:55:14.4,0.253,12
32,PS1-10bzj,('SLSN-I'),03:31:39.826,-27:47:42.17,0.65,4
33,PTF10aagc,('SLSN-I'),09:39:56.923,+21:43:17.09,0.2067,11
34,DES14X3taz,('SLSN-I'),02:28:04.46,-04:05:12.7,0.608,4
35,PTF10bfz,('SLSN-I'),12:54:41.27,+15:24:17.0,0.1701,4
36,SN2006oz,('SLSN-I'),22:08:53.56,+00:53:50.4,0.376,5
37,LSQ14bdq,'SLSN-I'),10:01:41.60,-12:22:13.4,0.345,4
38,SNLS-07D2bv,('SLSN-I'),10:00:06.63,+02:38:35.8,1.5,4
39,SSS120810:231802-560926,('SLSN-I'),23:18:01.80,-56:09:25.6,0.156,6
40,OGLE15sd,('SLSN-I'),01:42:21.46,-71:47:15.6,0.565,3
41,PTF12mkp,('SLSN-II'),08:28:35.092,+65:10:55.60,0.153,6
42,SNLS-06D4eu,('SLSN-I'),22:15:54.29,-18:10:45.6,1.588,4
43,SN2011kf,('SLSN-I'),14:36:57.53,+16:30:56.6,0.245,4
44,SN2010hy,('SLSN-I-R'),18:59:32.89,+19:24:25.9,0.1901,3
45,SN2012il,('SLSN-I'),09:46:12.91,+19:50:28.7,0.175,7
46,PTF10nmn,('SLSN-I-R'),15:50:02.809,-07:24:42.38,0.1237,4
47,DES16C2nm,('SLSN-I'),03:40:14.83,-29:05:53.5,1.998,4
48,SN2005ap,('SLSN-I'),13:01:14.84,+27:43:31.4,0.2832,4
49,SN2016ard,('SLSN-I'),14:10:44.55,-10:09:35.4,0.2025,4
50,SN2009jh,('SLSN-I'),14:49:10.09,+29:25:10.4,0.3499,12
51,PTF10uhf,('SLSN-I'),16:52:46.696,+47:36:21.76,0.2882,3
52,SN2016els,('SLSN-I'),20:30:13.920,-10:57:01.81,0.217,5
53,SN2016aj,('SLSN-I'),12:59:00.83,-26:07:40.5,0.485,9
